q1	q2	q19	q20	q25	q47	q50a	q50b	q50c	q50d	q50e	q58	q60	q61a	q61b	q61c	q64	q65a	q65b	q65c	q65d	q65e	q66	q68a	q68b	q68d	q69	q70	q71	q75
739	Dissatisfied	Disapprove	Some of the time	Basically content	Only some of the time	(VOL) Don't know/Refused	Statement #1	Statement #1	Statement #2	Statement #1	Statement #1	Strongly favor	Never fair game	Only a little	Some	None at all	Moderately fair	Not at all	Some	Not at all	Not at all	A lot	Losing influence	Friendly toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	(VOL) Don't know/Refused	Not too well	A lot
740	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #1	Statement #2	Statement #2	Statement #1	Statement #1	Strongly favor	Never fair game	Some	A lot	None at all	Not too fair	Some	A lot	A lot	A lot	A lot	Losing influence	Neutral toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	(VOL) Don't know/Refused	Not too well	A lot
741	Satisfied	Approve	Some of the time	(VOL) Don't know/Refused	Only some of the time	No, not keeping promises	Statement #2	Statement #1	Statement #1	Statement #2	Statement #1	Favor	Never fair game	Some	Some	Some	Not too fair	Some	Some	Some	Some	Some	Losing influence	Unfriendly toward religion	Friendly toward religion	(VOL) Don't know/Refused	Should keep out of political matters	(VOL) Don't know/Refused	Not too well	A little
742	Dissatisfied	Approve	Most of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #2	Statement #2	Statement #1	Statement #2	Statement #2	Strongly oppose	Never fair game	Some	Some	A lot	Moderately fair	Some	Some	Some	Some	A lot	Losing influence	Neutral toward religion	Friendly toward religion	Unfriendly toward religion	Should express their views on day-to-day social and political questions	Approve	Somewhat well	A lot
743	Dissatisfied	Disapprove	Most of the time	Frustrated	Most of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Strongly favor	Sometimes fair game [OR IS IT]	A lot	A lot	Only a little	Not fair at all	Not too much	Not too much	A lot	Not at all	A lot	Losing influence	Neutral toward religion	Friendly toward religion	Friendly toward religion	Should keep out of political matters	Disapprove	Somewhat well	A lot
744	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #2	Statement #1	Statement #1	Strongly favor	Never fair game	Some	Only a little	Only a little	Moderately fair	Not too much	Some	A lot	Not at all	A lot	Increasing influence	Friendly toward religion	Friendly toward religion	Friendly toward religion	Should express their views on day-to-day social and political questions	Approve	Not too well	A lot
745	Satisfied	Approve	Most of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #2	Statement #1	Statement #1	Statement #2	Statement #1	Favor	Never fair game	Some	Some	Some	Moderately fair	Not too much	A lot	A lot	Some	Some	Losing influence	Neutral toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	Approve	Somewhat well	A lot
746	(VOL) Don't know/Refused	Approve	Most of the time	Basically content	Only some of the time	No, not keeping promises	Statement #2	Statement #1	Statement #2	Statement #2	Statement #2	(VOL) Don't know/Refused	Sometimes fair game [OR IS IT]	A lot	Some	Some	Moderately fair	Not too much	Not too much	Not too much	Some	Not too much	Losing influence	Unfriendly toward religion	Neutral toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Approve	Somewhat well	A lot
747	Dissatisfied	Disapprove	Some of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #1	Statement #1	Statement #2	Statement #1	Statement #1	Oppose	Sometimes fair game [OR IS IT]	None at all	A lot	None at all	Not fair at all	A lot	Some	Not too much	Not at all	Some	Losing influence	Neutral toward religion	Neutral toward religion	Unfriendly toward religion	Should express their views on day-to-day social and political questions	Disapprove	Not at all well	A lot
748	Satisfied	Disapprove	Some of the time	Angry	Only some of the time	No, not keeping promises	Statement #2	Statement #1	Statement #2	Statement #2	Statement #2	Strongly oppose	Sometimes fair game [OR IS IT]	Some	A lot	Some	Not fair at all	A lot	A lot	A lot	Not at all	Some	Losing influence	Unfriendly toward religion	Unfriendly toward religion	Unfriendly toward religion	Should express their views on day-to-day social and political questions	Disapprove	Not too well	A lot
749	Dissatisfied	Disapprove	Some of the time	Basically content	(VOL) Never	(VOL) Don't know/Refused	Statement #1	(VOL) Don't know/Refused	Statement #2	Statement #1	Statement #2	Favor	Sometimes fair game [OR IS IT]	A lot	A lot	Some	Not too fair	Some	Some	Some	Not at all	Some	Losing influence	Neutral toward religion	Neutral toward religion	Neutral toward religion	Should keep out of political matters	(VOL) Don't know/Refused	(VOL) Don't know/Refused	A lot
750	Dissatisfied	Approve	Most of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #1	Statement #2	Statement #2	Statement #1	Statement #2	Oppose	Never fair game	Some	Some	Only a little	Moderately fair	Some	A lot	A lot	Not too much	A lot	Increasing influence	Unfriendly toward religion	Neutral toward religion	Neutral toward religion	Should keep out of political matters	Approve	Not at all well	A little
751	Satisfied	Approve	Most of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #2	Statement #2	Statement #1	Statement #2	Statement #2	Oppose	Never fair game	Some	A lot	None at all	Not too fair	Some	A lot	A lot	A lot	A lot	Losing influence	Unfriendly toward religion	Friendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Approve	Very well	A lot
752	Satisfied	Approve	Most of the time	Angry	Only some of the time	No, not keeping promises	Statement #2	Statement #2	Statement #2	Statement #2	Statement #1	Favor	Never fair game	Some	A lot	Some	Moderately fair	Some	Not too much	Some	A lot	Some	Losing influence	Unfriendly toward religion	Friendly toward religion	Friendly toward religion	Should keep out of political matters	Approve	Not too well	A lot
753	Satisfied	Disapprove	Hardly at all	Basically content	Only some of the time	(VOL) Don't know/Refused	Statement #2	Statement #1	Statement #2	Statement #2	Statement #1	Strongly favor	Sometimes fair game [OR IS IT]	None at all	Some	None at all	Moderately fair	Some	Not too much	Not too much	Not too much	Not too much	Losing influence	Neutral toward religion	Neutral toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Approve	Somewhat well	A little
754	Dissatisfied	Approve	Some of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #2	Statement #1	Statement #2	Statement #1	Statement #1	Oppose	Never fair game	Some	Some	Only a little	Not too fair	A lot	A lot	Some	Not too much	Some	Losing influence	Neutral toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	Disapprove	Somewhat well	A lot
755	Dissatisfied	Approve	Most of the time	Basically content	Most of the time	Yes, keeping promises	Statement #2	Statement #1	Statement #1	Statement #2	Statement #1	Strongly favor	Sometimes fair game [OR IS IT]	Some	A lot	Only a little	Very fair	Not at all	Not too much	Not at all	Not at all	Not too much	Losing influence	Unfriendly toward religion	Neutral toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Approve	Very well	A lot
756	Satisfied	Disapprove	Some of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #2	Statement #1	Statement #1	Strongly favor	Sometimes fair game [OR IS IT]	Some	Some	Some	Moderately fair	Not at all	Some	Some	Not at all	A lot	Losing influence	Neutral toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	Approve	Not too well	A lot
757	Dissatisfied	Disapprove	Some of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #1	Statement #2	Statement #2	Statement #1	Statement #1	Strongly favor	Never fair game	Some	Some	Only a little	Moderately fair	Some	Some	Some	A lot	A lot	Losing influence	Unfriendly toward religion	Neutral toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Disapprove	Not too well	A little
758	Dissatisfied	Approve	Most of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #2	Statement #2	Statement #2	Statement #2	Statement #2	Oppose	Sometimes fair game [OR IS IT]	None at all	Only a little	A lot	Moderately fair	Not at all	Not too much	Not too much	Not too much	A lot	Losing influence	Friendly toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	Approve	Very well	A lot
759	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	(VOL) Don't know/Refused	Statement #1	Statement #2	Statement #2	Statement #1	Statement #1	Favor	Sometimes fair game [OR IS IT]	A lot	Some	None at all	Not too fair	Not too much	A lot	Some	Not too much	A lot	Losing influence	Friendly toward religion	Friendly toward religion	Friendly toward religion	Should keep out of political matters	Disapprove	Very well	A lot
760	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #2	Statement #1	Statement #1	Statement #1	Statement #1	Strongly favor	Never fair game	A lot	Some	None at all	Not too fair	Not too much	A lot	A lot	Not at all	A lot	Increasing influence	Neutral toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	Disapprove	Very well	A lot
761	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #1	Statement #2	Statement #2	Statement #1	Statement #2	Strongly oppose	Sometimes fair game [OR IS IT]	A lot	Some	A lot	Moderately fair	Not at all	Some	Not at all	Not too much	Not at all	Losing influence	Friendly toward religion	Neutral toward religion	Friendly toward religion	Should keep out of political matters	Disapprove	Not at all well	A lot
762	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #1	Statement #2	Statement #1	Strongly favor	Sometimes fair game [OR IS IT]	A lot	A lot	A lot	Not fair at all	A lot	Not too much	A lot	Not at all	Not at all	Losing influence	Friendly toward religion	Unfriendly toward religion	Friendly toward religion	Should express their views on day-to-day social and political questions	Approve	Very well	A lot
763	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Favor	Never fair game	A lot	A lot	Only a little	Not too fair	Some	Some	A lot	Not too much	A lot	Losing influence	Friendly toward religion	Neutral toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Disapprove	Somewhat well	A lot
764	Dissatisfied	Approve	Most of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #1	Statement #1	Statement #2	Statement #2	Statement #2	Oppose	Never fair game	Some	Only a little	Some	Moderately fair	Some	Some	Some	Not too much	Some	Losing influence	Unfriendly toward religion	Friendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Approve	Somewhat well	A little
765	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #2	Statement #1	Statement #1	Strongly favor	Never fair game	A lot	A lot	Only a little	Not too fair	Not too much	Some	A lot	Not too much	A lot	Increasing influence	Neutral toward religion	Friendly toward religion	Friendly toward religion	Should keep out of political matters	Disapprove	Somewhat well	A lot
766	Dissatisfied	(VOL) Don't know/Refused	Only now and then	Angry	Only some of the time	Yes, keeping promises	(VOL) Don't know/Refused	(VOL) Don't know/Refused	Statement #2	Statement #2	Statement #1	(VOL) Don't know/Refused	Never fair game	Only a little	A lot	None at all	(VOL) Don't know/Refused	(VOL) Don't know/Refused	Some	Not at all	Not at all	A lot	(VOL) Don't know/Refused	Friendly toward religion	(VOL) Don't know/Refused	Neutral toward religion	Should keep out of political matters	Disapprove	Somewhat well	A lot
767	Satisfied	Approve	Most of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #2	Statement #1	Statement #2	Statement #2	Statement #2	Oppose	Never fair game	Some	Only a little	A lot	Not fair at all	A lot	A lot	Not too much	Some	Not too much	Losing influence	Unfriendly toward religion	Friendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Approve	Very well	A lot
768	Dissatisfied	Approve	Some of the time	Frustrated	(VOL) Never	No, not keeping promises	Statement #1	Statement #2	Statement #2	Statement #1	Statement #1	(VOL) Don't know/Refused	Never fair game	A lot	A lot	A lot	Not too fair	A lot	Not too much	A lot	Some	A lot	Losing influence	Unfriendly toward religion	Neutral toward religion	Neutral toward religion	Should keep out of political matters	Disapprove	Not at all well	A lot
769	Dissatisfied	Disapprove	Some of the time	Frustrated	Only some of the time	(VOL) Don't know/Refused	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Strongly favor	Never fair game	Some	Some	Only a little	Moderately fair	Not too much	Some	Not too much	Not at all	Some	Increasing influence	Neutral toward religion	Unfriendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Disapprove	Somewhat well	A lot
770	Satisfied	Approve	Some of the time	Basically content	Only some of the time	No, not keeping promises	Statement #1	Statement #2	Statement #2	Statement #1	Statement #1	Favor	Never fair game	Only a little	Only a little	A lot	Not fair at all	A lot	A lot	A lot	Some	A lot	Increasing influence	Neutral toward religion	Neutral toward religion	Neutral toward religion	Should keep out of political matters	(VOL) Don't know/Refused	Not at all well	A lot
771	Satisfied	Approve	Most of the time	Frustrated	Most of the time	No, not keeping promises	Statement #1	Statement #2	Statement #2	Statement #2	Statement #1	Strongly oppose	Sometimes fair game [OR IS IT]	Only a little	Only a little	A lot	Not too fair	A lot	A lot	Some	A lot	Some	Losing influence	Unfriendly toward religion	Friendly toward religion	Friendly toward religion	Should keep out of political matters	Approve	Not too well	A lot
772	(VOL) Don't know/Refused	Approve	Most of the time	Frustrated	(VOL) Never	No, not keeping promises	Statement #2	Statement #1	Statement #1	Statement #1	Statement #1	Oppose	Never fair game	None at all	None at all	Only a little	Not fair at all	A lot	A lot	Not too much	Not too much	Not too much	Losing influence	Unfriendly toward religion	Friendly toward religion	Unfriendly toward religion	Should keep out of political matters	Approve	Very well	A lot
773	Satisfied	Approve	Most of the time	Angry	Only some of the time	Yes, keeping promises	Statement #2	Statement #2	Statement #2	Statement #1	Statement #1	Favor	Sometimes fair game [OR IS IT]	Some	Only a little	Some	Moderately fair	Not too much	A lot	Some	A lot	Not at all	Increasing influence	Unfriendly toward religion	Neutral toward religion	Neutral toward religion	Should keep out of political matters	Approve	Somewhat well	A lot
774	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Strongly favor	Never fair game	A lot	A lot	None at all	Not fair at all	Not at all	Not too much	A lot	Not at all	A lot	Losing influence	Friendly toward religion	Friendly toward religion	Friendly toward religion	Should keep out of political matters	Disapprove	Very well	A lot
775	Satisfied	(VOL) Don't know/Refused	Most of the time	Frustrated	Most of the time	(VOL) Don't know/Refused	Statement #2	Statement #1	Statement #1	Statement #2	Statement #1	(VOL) Don't know/Refused	Never fair game	Some	Some	Only a little	Moderately fair	A lot	A lot	Some	Not at all	Not too much	Losing influence	Unfriendly toward religion	Neutral toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	(VOL) Don't know/Refused	Somewhat well	A lot
776	Satisfied	Approve	Most of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #2	Statement #1	Statement #1	Statement #2	Statement #2	Favor	Never fair game	None at all	Only a little	Some	Not too fair	Not too much	A lot	Not at all	Not at all	Not too much	Losing influence	Unfriendly toward religion	Friendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Approve	Very well	A lot
777	Satisfied	Approve	Some of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #1	Statement #2	Statement #1	Statement #1	Statement #1	Favor	Never fair game	Some	Some	None at all	Not fair at all	Some	A lot	A lot	Not at all	A lot	Losing influence	Unfriendly toward religion	Friendly toward religion	Friendly toward religion	Should keep out of political matters	Approve	Very well	A lot
778	Dissatisfied	Approve	Most of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #1	Statement #2	Statement #2	Statement #1	Statement #1	Strongly oppose	Sometimes fair game [OR IS IT]	None at all	Some	None at all	Not too fair	Some	A lot	A lot	Not too much	A lot	Losing influence	Friendly toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	Approve	Not at all well	Nothing at all
779	Dissatisfied	(VOL) Don't know/Refused	Some of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #1	Statement #2	(VOL) Neither/Both equally	Statement #1	Statement #2	Strongly oppose	Never fair game	Some	Some	A lot	Moderately fair	Not too much	A lot	A lot	Not too much	A lot	Losing influence	Friendly toward religion	Friendly toward religion	Unfriendly toward religion	Should express their views on day-to-day social and political questions	Approve	Not too well	A lot
780	Satisfied	Approve	Most of the time	Frustrated	(VOL) Never	No, not keeping promises	Statement #2	Statement #1	Statement #1	Statement #2	Statement #1	Favor	Never fair game	Only a little	Only a little	Some	Moderately fair	Not too much	Some	Not too much	Some	Some	Increasing influence	Unfriendly toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	Approve	Somewhat well	A little
781	Satisfied	Approve	Most of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #2	Statement #1	Statement #1	Oppose	Never fair game	Some	Some	Some	Moderately fair	Not too much	Some	Not too much	Some	A lot	Losing influence	Unfriendly toward religion	Neutral toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Approve	Very well	A lot
782	Dissatisfied	Approve	Only now and then	Frustrated	Only some of the time	(VOL) Don't know/Refused	Statement #1	Statement #1	(VOL) Neither/Both equally	Statement #1	Statement #2	Oppose	Never fair game	Some	A lot	Some	(VOL) Don't know/Refused	Not at all	Some	A lot	Some	A lot	Losing influence	Unfriendly toward religion	Neutral toward religion	Unfriendly toward religion	Should keep out of political matters	(VOL) Don't know/Refused	(VOL) Don't know/Refused	A lot
783	Satisfied	Approve	Most of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #2	Statement #2	Statement #2	Statement #2	Statement #1	Favor	Sometimes fair game [OR IS IT]	Some	Some	Some	Not fair at all	Some	Some	Not at all	A lot	Not at all	Losing influence	Unfriendly toward religion	Friendly toward religion	Unfriendly toward religion	Should express their views on day-to-day social and political questions	Approve	Very well	A lot
784	(VOL) Don't know/Refused	Approve	Most of the time	Basically content	Only some of the time	(VOL) Don't know/Refused	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Strongly favor	Never fair game	Some	Some	Some	Not too fair	Not at all	Not too much	Some	A lot	A lot	Losing influence	Friendly toward religion	Friendly toward religion	Neutral toward religion	(VOL) Don't know/Refused	Approve	Very well	A lot
785	Dissatisfied	(VOL) Don't know/Refused	Hardly at all	(VOL) Don't know/Refused	Only some of the time	No, not keeping promises	Statement #1	Statement #2	Statement #2	Statement #1	Statement #1	Strongly oppose	Never fair game	Only a little	Only a little	Only a little	Not too fair	A lot	A lot	Some	Some	Not too much	Increasing influence	Neutral toward religion	Neutral toward religion	Neutral toward religion	Should keep out of political matters	Disapprove	Not too well	A little
786	Satisfied	Approve	Most of the time	Frustrated	Most of the time	Yes, keeping promises	Statement #2	Statement #1	Statement #1	Statement #2	Statement #1	Favor	Sometimes fair game [OR IS IT]	Some	Only a little	Some	Very fair	Not at all	A lot	Not too much	Not at all	Not too much	Losing influence	Unfriendly toward religion	Friendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Approve	Somewhat well	A lot
787	Dissatisfied	Disapprove	Some of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #1	Statement #2	Statement #2	Statement #1	Statement #1	Favor	Sometimes fair game [OR IS IT]	Some	Some	Some	Not too fair	Some	Some	A lot	A lot	A lot	Increasing influence	Neutral toward religion	Neutral toward religion	Neutral toward religion	Should keep out of political matters	Disapprove	Not too well	A little
788	Satisfied	Approve	Most of the time	Angry	(VOL) Never	No, not keeping promises	(VOL) Don't know/Refused	Statement #2	Statement #2	Statement #1	Statement #2	Strongly favor	Never fair game	Only a little	Some	Only a little	Not too fair	Not too much	Not too much	A lot	Not at all	A lot	(VOL) Same	(VOL) Don't know/Refused	(VOL) Don't know/Refused	Neutral toward religion	Should keep out of political matters	(VOL) Don't know/Refused	(VOL) Don't know/Refused	Nothing at all
789	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Strongly favor	Never fair game	A lot	A lot	Only a little	Not fair at all	Some	A lot	A lot	Not at all	A lot	(VOL) Same	Friendly toward religion	Unfriendly toward religion	Friendly toward religion	Should express their views on day-to-day social and political questions	Disapprove	Somewhat well	A lot
790	Satisfied	Approve	Most of the time	Angry	Only some of the time	No, not keeping promises	Statement #1	Statement #1	Statement #2	Statement #1	Statement #1	Strongly favor	Sometimes fair game [OR IS IT]	Only a little	Only a little	None at all	Moderately fair	Some	Some	Some	Not at all	Some	Losing influence	Unfriendly toward religion	Friendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Approve	Somewhat well	A lot
791	Satisfied	Approve	Most of the time	Basically content	Most of the time	No, not keeping promises	Statement #2	Statement #2	Statement #2	Statement #2	Statement #1	Strongly oppose	Sometimes fair game [OR IS IT]	Only a little	Only a little	A lot	Moderately fair	Some	A lot	Not at all	Not at all	Not at all	Increasing influence	Unfriendly toward religion	Neutral toward religion	Neutral toward religion	Should keep out of political matters	Approve	Very well	A lot
792	Dissatisfied	Approve	Most of the time	Angry	Only some of the time	No, not keeping promises	Statement #2	Statement #1	Statement #1	Statement #2	Statement #2	Oppose	Never fair game	Only a little	Only a little	Only a little	Not too fair	Not too much	A lot	Some	Some	Not too much	Losing influence	Unfriendly toward religion	Neutral toward religion	Unfriendly toward religion	Should express their views on day-to-day social and political questions	Approve	Very well	A lot
793	Dissatisfied	Approve	Some of the time	Angry	Only some of the time	Yes, keeping promises	(VOL) Don't know/Refused	Statement #2	Statement #2	Statement #2	Statement #2	Oppose	Never fair game	Some	(VOL) Don't know/Refused	A lot	(VOL) Don't know/Refused	Not at all	Not at all	(VOL) Don't know/Refused	A lot	(VOL) Don't know/Refused	Losing influence	(VOL) Don't know/Refused	Friendly toward religion	(VOL) Don't know/Refused	Should express their views on day-to-day social and political questions	(VOL) Don't know/Refused	Very well	A lot
794	Satisfied	Approve	Most of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #1	Statement #2	Statement #1	Statement #2	Statement #2	Strongly oppose	Never fair game	Some	Only a little	A lot	Moderately fair	Not at all	Some	Some	Not too much	A lot	Losing influence	Unfriendly toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	Approve	Very well	A lot
795	Satisfied	Approve	Some of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #2	Statement #2	Statement #2	Statement #2	(VOL) Neither/Both equally	Oppose	Sometimes fair game [OR IS IT]	Only a little	Only a little	A lot	Moderately fair	Some	A lot	A lot	Some	A lot	Losing influence	Unfriendly toward religion	Friendly toward religion	Unfriendly toward religion	Should keep out of political matters	Disapprove	Somewhat well	A lot
796	Dissatisfied	Approve	Most of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #2	Statement #2	Statement #2	Statement #2	Statement #1	Oppose	Sometimes fair game [OR IS IT]	Some	Only a little	Only a little	Very fair	Not too much	Not too much	Not too much	Some	Not too much	Losing influence	Unfriendly toward religion	Friendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Approve	Very well	A lot
797	Dissatisfied	Disapprove	Some of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Favor	Never fair game	A lot	A lot	Only a little	Moderately fair	Not too much	Some	Some	Some	Some	Increasing influence	Neutral toward religion	Unfriendly toward religion	Unfriendly toward religion	Should keep out of political matters	Disapprove	Somewhat well	A lot
798	Satisfied	Approve	Hardly at all	Basically content	Only some of the time	Yes, keeping promises	Statement #2	Statement #2	Statement #1	Statement #2	Statement #2	Oppose	Sometimes fair game [OR IS IT]	None at all	None at all	None at all	Very fair	Not at all	Not at all	Not at all	Not at all	Not at all	Increasing influence	Friendly toward religion	Friendly toward religion	Friendly toward religion	Should keep out of political matters	Approve	Very well	Nothing at all
799	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Favor	Sometimes fair game [OR IS IT]	A lot	A lot	Only a little	Not too fair	Some	Some	A lot	Not at all	A lot	Losing influence	Neutral toward religion	Neutral toward religion	Friendly toward religion	Should express their views on day-to-day social and political questions	Disapprove	Somewhat well	A lot
800	Dissatisfied	Approve	Only now and then	Frustrated	Only some of the time	No, not keeping promises	Statement #2	Statement #2	Statement #1	Statement #1	Statement #1	Favor	Never fair game	Some	Some	A lot	Moderately fair	A lot	A lot	A lot	Some	A lot	Increasing influence	Unfriendly toward religion	Unfriendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	(VOL) Don't know/Refused	Not at all well	A lot
801	Satisfied	Approve	Most of the time	Angry	Only some of the time	No, not keeping promises	Statement #1	Statement #2	Statement #2	Statement #1	Statement #2	Strongly oppose	Sometimes fair game [OR IS IT]	Only a little	Only a little	A lot	Moderately fair	Not too much	A lot	Not too much	Not too much	Not too much	Losing influence	Unfriendly toward religion	Friendly toward religion	Friendly toward religion	Should express their views on day-to-day social and political questions	Approve	Somewhat well	A lot
802	Dissatisfied	Disapprove	Most of the time	Angry	Only some of the time	(VOL) Don't know/Refused	Statement #1	Statement #1	Statement #2	Statement #1	Statement #1	Strongly favor	Sometimes fair game [OR IS IT]	A lot	A lot	Some	Not fair at all	A lot	A lot	A lot	A lot	A lot	Losing influence	Unfriendly toward religion	Friendly toward religion	Neutral toward religion	Should keep out of political matters	Disapprove	Very well	A lot
803	Satisfied	Approve	Most of the time	Basically content	Only some of the time	No, not keeping promises	Statement #2	Statement #2	Statement #2	(VOL) Don't know/Refused	Statement #2	(VOL) Don't know/Refused	Sometimes fair game [OR IS IT]	(VOL) Don't know/Refused	(VOL) Don't know/Refused	(VOL) Don't know/Refused	Moderately fair	Some	Not too much	(VOL) Don't know/Refused	(VOL) Don't know/Refused	A lot	(VOL) Don't know/Refused	Unfriendly toward religion	Friendly toward religion	Friendly toward religion	Should express their views on day-to-day social and political questions	(VOL) Don't know/Refused	(VOL) Don't know/Refused	(VOL) Don't know/Refused
804	Satisfied	Approve	Most of the time	Basically content	Most of the time	No, not keeping promises	Statement #2	Statement #2	Statement #1	Statement #2	Statement #1	Oppose	Never fair game	None at all	None at all	Some	Moderately fair	Not at all	Not at all	Not at all	Some	Not at all	Losing influence	Unfriendly toward religion	Friendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Approve	Not at all well	A lot
805	Dissatisfied	Disapprove	Hardly at all	Basically content	Only some of the time	No, not keeping promises	Statement #1	Statement #2	Statement #1	Statement #1	Statement #1	Strongly favor	Never fair game	A lot	A lot	Only a little	Moderately fair	Some	Some	A lot	Not too much	Some	Increasing influence	Friendly toward religion	Unfriendly toward religion	Neutral toward religion	Should keep out of political matters	Disapprove	Somewhat well	A lot
806	Satisfied	Approve	Most of the time	Basically content	Most of the time	No, not keeping promises	Statement #1	Statement #2	Statement #2	Statement #2	Statement #1	Strongly favor	Sometimes fair game [OR IS IT]	Some	Some	Some	Moderately fair	Not at all	Not at all	A lot	A lot	A lot	Losing influence	Neutral toward religion	Neutral toward religion	Friendly toward religion	Should keep out of political matters	Approve	Very well	A lot
807	Dissatisfied	Approve	Only now and then	Frustrated	Only some of the time	(VOL) Don't know/Refused	Statement #1	Statement #1	Statement #2	Statement #2	Statement #2	Strongly oppose	Never fair game	Some	Some	Some	Moderately fair	Not too much	A lot	Some	Not at all	Some	Losing influence	Unfriendly toward religion	Friendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Approve	Not too well	A lot
808	Dissatisfied	(VOL) Don't know/Refused	Hardly at all	(VOL) Don't know/Refused	Only some of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Strongly favor	Sometimes fair game [OR IS IT]	A lot	A lot	None at all	Moderately fair	Some	A lot	A lot	Some	A lot	Increasing influence	Friendly toward religion	Friendly toward religion	Friendly toward religion	Should keep out of political matters	(VOL) Don't know/Refused	Not at all well	A lot
